sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t
APOLLOTYRE,LONG,327.8,333.67325,1933,11352.99224999997,11126.415959535421,TSL,2023-02-01 10:50:00+05:30,2023-02-01 13:20:00+05:30
APOLLOTYRE,LONG,333.9,329.8932,1897,-7600.899599999997,-7821.970047062688,SL,2023-02-01 13:25:00+05:30,2023-02-01 14:15:00+05:30
ASHOKLEY,SHORT,64.95,64.62149999999998,10010,3288.285000000196,3060.079701088606,TSL,2023-03-27 12:40:00+05:30,2023-03-27 13:35:00+05:30
APOLLOTYRE,LONG,321.6,322.9,2069,2689.699999999906,2454.411960666906,EOD,2023-04-03 10:35:00+05:30,2023-04-03 15:15:00+05:30
BHEL,LONG,80.1,82.9035,6345,17788.207499999997,17603.9877865261,PARTIAL_PROFIT,2023-05-29 10:25:00+05:30,2023-05-29 11:55:00+05:30
BHEL,LONG,80.1,82.983,2116,6100.428000000021,6038.944245492093,TSL,2023-05-29 10:25:00+05:30,2023-05-29 12:10:00+05:30
BHARATFORG,LONG,783.5,787.3,865,3286.999999999961,3047.192762307961,EOD,2023-05-29 12:15:00+05:30,2023-05-29 15:15:00+05:30
SRF,LONG,2329.3,2321.35,348,-2766.600000000095,-3051.504449521295,EMA50_DYN,2023-08-24 10:05:00+05:30,2023-08-24 11:25:00+05:30
SHRIRAMFIN,LONG,385.05,380.4294,2106,-9730.983600000052,-10014.007058803758,SL,2023-08-24 11:30:00+05:30,2023-08-24 12:15:00+05:30
BHARATFORG,LONG,1042.35,1041.5,778,-661.2999999999292,-946.9310689777292,EMA50_DYN,2023-08-24 12:20:00+05:30,2023-08-24 15:05:00+05:30
PFC,LONG,208.7,208.35,3551,-1242.84999999998,-1503.69422076828,EMA50_DYN,2023-09-04 10:25:00+05:30,2023-09-04 12:15:00+05:30
CUMMINSIND,LONG,1730.65,1728.25,428,-1027.200000000039,-1287.973599679239,EMA50_DYN,2023-09-04 12:20:00+05:30,2023-09-04 14:25:00+05:30
APOLLOTYRE,LONG,388.75,390.0,1906,2382.5,2120.666113765,EOD,2023-09-04 14:30:00+05:30,2023-09-04 15:15:00+05:30
IDEA,LONG,10.7,11.074499999999999,51714,19366.892999999967,19166.32397249455,PARTIAL_PROFIT,2023-09-11 10:30:00+05:30,2023-09-11 11:15:00+05:30
IDEA,LONG,10.7,11.0445,17238,5938.491000000001,5871.7826764118345,TSL,2023-09-11 10:30:00+05:30,2023-09-11 11:20:00+05:30
BALKRISIND,LONG,2432.0,2424.0,303,-2424.0,-2683.026657168,EMA50_DYN,2023-09-11 11:25:00+05:30,2023-09-11 14:50:00+05:30
