sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t,exit_date,year,month
AUBANK,LONG,605.0,597.74,165,-1197.8999999999985,-1232.7406507745984,SL,2022-09-29 10:50:00+05:30,2022-09-29 11:15:00+05:30,2022-09-29,2022,2022-09
MGL,LONG,882.8,875.05,113,-875.75,-910.6586802733,EMA50_DYN,2022-09-29 11:20:00+05:30,2022-09-29 12:00:00+05:30,2022-09-29,2022,2022-09
ESCORTS,LONG,2121.45,2095.9925999999996,47,-1196.497800000011,-1231.2976681045081,SL,2022-09-29 12:10:00+05:30,2022-09-29 13:05:00+05:30,2022-09-29,2022,2022-09
GLENMARK,LONG,389.95,387.6,256,-601.5999999999913,-636.6121027327913,EMA50_DYN,2022-09-29 13:45:00+05:30,2022-09-29 14:25:00+05:30,2022-09-29,2022,2022-09
MFSL,LONG,762.2,770.3,131,1061.099999999988,1025.6045878049881,EOD,2022-09-29 14:30:00+05:30,2022-09-29 15:15:00+05:30,2022-09-29,2022,2022-09
BHARATFORG,LONG,703.65,706.7,142,433.1000000000097,397.75963084780966,EMA50_DYN,2022-10-04 11:00:00+05:30,2022-10-04 14:15:00+05:30,2022-10-04,2022,2022-10
ASHOKLEY,LONG,75.95,75.7,1316,-329.0,-364.1334795364,EOD,2022-10-04 14:20:00+05:30,2022-10-04 15:15:00+05:30,2022-10-04,2022,2022-10
IDFCFIRSTB,LONG,54.45,54.4,1836,-91.80000000000783,-127.00842138360782,EMA50_DYN,2022-10-06 10:45:00+05:30,2022-10-06 13:40:00+05:30,2022-10-06,2022,2022-10
BANKBARODA,LONG,128.1,127.4,780,-545.9999999999911,-581.0600195399911,EMA50_DYN,2022-10-06 13:45:00+05:30,2022-10-06 14:40:00+05:30,2022-10-06,2022,2022-10
RECLTD,LONG,95.25,95.6,1049,367.14999999999407,331.82887752709405,EOD,2022-10-06 14:45:00+05:30,2022-10-06 15:15:00+05:30,2022-10-06,2022,2022-10
SHRIRAMFIN,LONG,240.55,240.6,415,20.749999999992923,-14.44060555850708,EMA50_DYN,2022-10-14 11:00:00+05:30,2022-10-14 14:05:00+05:30,2022-10-14,2022,2022-10
AUBANK,LONG,602.65,601.6,165,-173.2499999999925,-208.2472689824925,EOD,2022-10-14 14:10:00+05:30,2022-10-14 15:15:00+05:30,2022-10-14,2022,2022-10
EXIDEIND,LONG,164.8,163.9,606,-545.4000000000035,-580.4428506372035,EMA50_DYN,2022-10-27 10:30:00+05:30,2022-10-27 11:25:00+05:30,2022-10-27,2022,2022-10
CONCOR,LONG,633.1,629.7,157,-533.7999999999964,-568.6797782695965,EMA50_DYN,2022-10-27 11:30:00+05:30,2022-10-27 14:45:00+05:30,2022-10-27,2022,2022-10
EXIDEIND,LONG,165.45,166.6,604,694.6000000000034,659.1800246468034,EOD,2022-10-27 14:50:00+05:30,2022-10-27 15:15:00+05:30,2022-10-27,2022,2022-10
JINDALSTEL,LONG,492.85,499.19149999999996,202,1280.982999999988,1245.52774378343,TSL,2022-11-11 10:45:00+05:30,2022-11-11 13:00:00+05:30,2022-11-11,2022,2022-11
GODREJPROP,LONG,1295.2,1294.5,77,-53.9000000000035,-89.0347513594035,EOD,2022-11-11 13:05:00+05:30,2022-11-11 15:15:00+05:30,2022-11-11,2022,2022-11
